Model,MAE,RMSE,MAPE
ARIMA,668.0115165595812,826.7282312805272,3.846901026740889
SARIMA,668.0115165595812,826.7282312805272,3.846901026740889
Holt-Winters,420.4838755012834,551.774956124654,2.4142035245048534
Prophet,345.912433161615,404.85609254929693,2.011069263666773
